model,threshold,precision,recall,f1,business_cost,TP,TN,FP,FN
HistGradientBoosting,0.37,0.5061728395061729,0.8723404255319149,0.640625,200,82,56571,80,12
HistGradientBoosting,0.38,0.5189873417721519,0.8723404255319149,0.6507936507936508,196,82,56575,76,12
HistGradientBoosting,0.39,0.5364238410596026,0.8617021276595744,0.6612244897959184,200,81,56581,70,13
HistGradientBoosting,0.4,0.54,0.8617021276595744,0.6639344262295082,199,81,56582,69,13
HistGradientBoosting,0.41,0.5547945205479452,0.8617021276595744,0.675,195,81,56586,65,13
HistGradientBoosting,0.42,0.574468085106383,0.8617021276595744,0.6893617021276596,190,81,56591,60,13
HistGradientBoosting,0.43,0.5912408759124088,0.8617021276595744,0.7012987012987013,186,81,56595,56,13
HistGradientBoosting,0.44,0.6136363636363636,0.8617021276595744,0.7168141592920354,181,81,56600,51,13
HistGradientBoosting,0.45,0.6230769230769231,0.8617021276595744,0.7232142857142857,179,81,56602,49,13
HistGradientBoosting,0.46,0.627906976744186,0.8617021276595744,0.726457399103139,178,81,56603,48,13
HistGradientBoosting,0.47,0.6377952755905512,0.8617021276595744,0.7330316742081447,176,81,56605,46,13
HistGradientBoosting,0.48,0.6377952755905512,0.8617021276595744,0.7330316742081447,176,81,56605,46,13
HistGradientBoosting,0.49,0.6377952755905512,0.8617021276595744,0.7330316742081447,176,81,56605,46,13
HistGradientBoosting,0.5,0.6377952755905512,0.8617021276595744,0.7330316742081447,176,81,56605,46,13
HistGradientBoosting,0.51,0.648,0.8617021276595744,0.7397260273972602,174,81,56607,44,13
HistGradientBoosting,0.52,0.6585365853658537,0.8617021276595744,0.7465437788018433,172,81,56609,42,13
HistGradientBoosting,0.53,0.6639344262295082,0.8617021276595744,0.75,171,81,56610,41,13
HistGradientBoosting,0.54,0.6639344262295082,0.8617021276595744,0.75,171,81,56610,41,13
HistGradientBoosting,0.55,0.675,0.8617021276595744,0.7570093457943925,169,81,56612,39,13
HistGradientBoosting,0.56,0.675,0.8617021276595744,0.7570093457943925,169,81,56612,39,13
HistGradientBoosting,0.57,0.680672268907563,0.8617021276595744,0.7605633802816901,168,81,56613,38,13
HistGradientBoosting,0.58,0.7043478260869566,0.8617021276595744,0.7751196172248804,164,81,56617,34,13
HistGradientBoosting,0.59,0.7105263157894737,0.8617021276595744,0.7788461538461539,163,81,56618,33,13
HistGradientBoosting,0.6,0.7297297297297297,0.8617021276595744,0.7902439024390244,160,81,56621,30,13
HistGradientBoosting,0.61,0.7272727272727273,0.851063829787234,0.7843137254901961,170,80,56621,30,14
